
2024/07/16 (15:35:33) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (15:35:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (15:35:33) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (15:35:33) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (15:37:44) | ===> btop++ v.1.3.2
2024/07/16 (15:37:44) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (15:37:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (15:37:44) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (15:37:44) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (15:37:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (15:37:44) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (15:37:44) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (15:40:45) | ===> btop++ v.1.3.2
2024/07/16 (15:40:45) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (15:40:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (15:40:45) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (15:40:45) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (15:40:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (15:40:45) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (15:40:45) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (15:40:59) | ===> btop++ v.1.3.2
2024/07/16 (15:40:59) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (15:40:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (15:40:59) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (15:40:59) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (15:40:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (15:40:59) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (15:40:59) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (15:41:03) | ===> btop++ v.1.3.2
2024/07/16 (15:41:03) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (15:41:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (15:41:03) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (15:41:03) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (15:41:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (15:41:03) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (15:41:03) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (15:41:25) | ===> btop++ v.1.3.2
2024/07/16 (15:41:25) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (15:41:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (15:41:25) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (15:41:25) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (15:41:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (15:41:25) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (15:41:25) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (15:41:37) | ===> btop++ v.1.3.2
2024/07/16 (15:41:37) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (15:41:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
